20.2073 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x764d587910c0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x764d58791120>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x764d58791420>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x764d49f757e0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.4411 	EXP 	New trial (rep=0, index=5): OrderedDict([('stimuli', 'T'), ('trial_type', 'non-target'), ('stimulus_onset', 8.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_duration', 2.8), ('cor_res', 'right')])
8.4620 	EXP 	Stimuli: autoDraw = False
8.4620 	EXP 	Stimuli: autoDraw = False
8.4620 	EXP 	Stimuli: height = 0.05
8.4620 	EXP 	Stimuli: height = 0.05
8.4620 	EXP 	Stimuli: height = 0.05
8.4620 	EXP 	Stimuli: text = 'T'
8.4620 	EXP 	Stimuli: height = 0.15
8.4620 	EXP 	Stimuli: autoDraw = True
8.4620 	EXP 	Stimuli: height = 0.15
8.4620 	EXP 	Stimuli: height = 0.15
8.4620 	EXP 	Stimuli: height = 0.15
8.4620 	EXP 	Stimuli: text = 'T'
11.2555 	EXP 	New trial (rep=0, index=6): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 10.8), ('block_type', '0-back'), ('stimulus_size', 0.05), ('stimulus_duration', 0.2), ('cor_res', None)])
11.2766 	EXP 	Stimuli: autoDraw = False
11.2766 	EXP 	Stimuli: autoDraw = False
11.2766 	EXP 	Stimuli: height = 0.15
11.2766 	EXP 	Stimuli: height = 0.15
11.2766 	EXP 	Stimuli: height = 0.15
11.2766 	EXP 	Stimuli: text = '+'
11.2766 	EXP 	Stimuli: height = 0.05
11.2766 	EXP 	Stimuli: autoDraw = True
11.2766 	EXP 	Stimuli: height = 0.05
11.2766 	EXP 	Stimuli: height = 0.05
11.2766 	EXP 	Stimuli: height = 0.05
11.2766 	EXP 	Stimuli: text = '+'
11.4718 	EXP 	New trial (rep=0, index=7): OrderedDict([('stimuli', 'E'), ('trial_type', 'non-target'), ('stimulus_onset', 11.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_duration', 2.8), ('cor_res', 'right')])
11.4917 	EXP 	Stimuli: autoDraw = False
11.4917 	EXP 	Stimuli: autoDraw = False
11.4917 	EXP 	Stimuli: height = 0.05
11.4917 	EXP 	Stimuli: height = 0.05
11.4917 	EXP 	Stimuli: height = 0.05
11.4917 	EXP 	Stimuli: text = 'E'
11.4917 	EXP 	Stimuli: height = 0.15
11.4917 	EXP 	Stimuli: autoDraw = True
11.4917 	EXP 	Stimuli: height = 0.15
11.4917 	EXP 	Stimuli: height = 0.15
11.4917 	EXP 	Stimuli: height = 0.15
11.4917 	EXP 	Stimuli: text = 'E'
14.2864 	EXP 	New trial (rep=0, index=8): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 13.8), ('block_type', '0-back'), ('stimulus_size', 0.05), ('stimulus_duration', 0.2), ('cor_res', None)])
14.3068 	EXP 	Stimuli: autoDraw = False
14.3068 	EXP 	Stimuli: autoDraw = False
14.3068 	EXP 	Stimuli: height = 0.15
14.3068 	EXP 	Stimuli: height = 0.15
14.3068 	EXP 	Stimuli: height = 0.15
14.3068 	EXP 	Stimuli: text = '+'
14.3068 	EXP 	Stimuli: height = 0.05
14.3068 	EXP 	Stimuli: autoDraw = True
14.3068 	EXP 	Stimuli: height = 0.05
14.3068 	EXP 	Stimuli: height = 0.05
14.3068 	EXP 	Stimuli: height = 0.05
14.3068 	EXP 	Stimuli: text = '+'
14.5028 	EXP 	New trial (rep=0, index=9): OrderedDict([('stimuli', 'X'), ('trial_type', 'target'), ('stimulus_onset', 14.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_duration', 2.8), ('cor_res', 'left')])
14.5214 	EXP 	Stimuli: autoDraw = False
14.5214 	EXP 	Stimuli: autoDraw = False
14.5214 	EXP 	Stimuli: height = 0.05
14.5214 	EXP 	Stimuli: height = 0.05
14.5214 	EXP 	Stimuli: height = 0.05
14.5214 	EXP 	Stimuli: text = 'X'
14.5214 	EXP 	Stimuli: height = 0.15
14.5214 	EXP 	Stimuli: autoDraw = True
14.5214 	EXP 	Stimuli: height = 0.15
14.5214 	EXP 	Stimuli: height = 0.15
14.5214 	EXP 	Stimuli: height = 0.15
14.5214 	EXP 	Stimuli: text = 'X'
17.3176 	EXP 	New trial (rep=0, index=10): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 16.8), ('block_type', '0-back'), ('stimulus_size', 0.05), ('stimulus_duration', 0.2), ('cor_res', None)])
17.3404 	EXP 	Stimuli: autoDraw = False
17.3404 	EXP 	Stimuli: autoDraw = False
17.3404 	EXP 	Stimuli: height = 0.15
17.3404 	EXP 	Stimuli: height = 0.15
17.3404 	EXP 	Stimuli: height = 0.15
17.3404 	EXP 	Stimuli: text = '+'
17.3404 	EXP 	Stimuli: height = 0.05
17.3404 	EXP 	Stimuli: autoDraw = True
17.3404 	EXP 	Stimuli: height = 0.05
17.3404 	EXP 	Stimuli: height = 0.05
17.3404 	EXP 	Stimuli: height = 0.05
17.3404 	EXP 	Stimuli: text = '+'
17.5342 	EXP 	New trial (rep=0, index=11): OrderedDict([('stimuli', 'X'), ('trial_type', 'target'), ('stimulus_onset', 17.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_duration', 2.8), ('cor_res', 'left')])
17.5561 	EXP 	Stimuli: autoDraw = False
17.5561 	EXP 	Stimuli: autoDraw = False
17.5561 	EXP 	Stimuli: height = 0.05
17.5561 	EXP 	Stimuli: height = 0.05
17.5561 	EXP 	Stimuli: height = 0.05
17.5561 	EXP 	Stimuli: text = 'X'
17.5561 	EXP 	Stimuli: height = 0.15
17.5561 	EXP 	Stimuli: autoDraw = True
17.5561 	EXP 	Stimuli: height = 0.15
17.5561 	EXP 	Stimuli: height = 0.15
17.5561 	EXP 	Stimuli: height = 0.15
17.5561 	EXP 	Stimuli: text = 'X'
20.3488 	EXP 	New trial (rep=0, index=12): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 19.8), ('block_type', '0-back'), ('stimulus_size', 0.05), ('stimulus_duration', 0.2), ('cor_res', None)])
20.3725 	EXP 	Stimuli: autoDraw = False
20.3725 	EXP 	Stimuli: autoDraw = False
20.3725 	EXP 	Stimuli: height = 0.15
20.3725 	EXP 	Stimuli: height = 0.15
20.3725 	EXP 	Stimuli: height = 0.15
20.3725 	EXP 	Stimuli: text = '+'
20.3725 	EXP 	Stimuli: height = 0.05
20.3725 	EXP 	Stimuli: autoDraw = True
20.3725 	EXP 	Stimuli: height = 0.05
20.3725 	EXP 	Stimuli: height = 0.05
20.3725 	EXP 	Stimuli: height = 0.05
20.3725 	EXP 	Stimuli: text = '+'
20.5649 	EXP 	New trial (rep=0, index=13): OrderedDict([('stimuli', 'H'), ('trial_type', 'non-target'), ('stimulus_onset', 20.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_duration', 2.8), ('cor_res', 'right')])
20.5864 	EXP 	Stimuli: autoDraw = False
20.5864 	EXP 	Stimuli: autoDraw = False
20.5864 	EXP 	Stimuli: height = 0.05
20.5864 	EXP 	Stimuli: height = 0.05
20.5864 	EXP 	Stimuli: height = 0.05
20.5864 	EXP 	Stimuli: text = 'H'
20.5864 	EXP 	Stimuli: height = 0.15
20.5864 	EXP 	Stimuli: autoDraw = True
20.5864 	EXP 	Stimuli: height = 0.15
20.5864 	EXP 	Stimuli: height = 0.15
20.5864 	EXP 	Stimuli: height = 0.15
20.5864 	EXP 	Stimuli: text = 'H'
23.3795 	EXP 	New trial (rep=0, index=14): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 22.8), ('block_type', '0-back'), ('stimulus_size', 0.05), ('stimulus_duration', 0.2), ('cor_res', None)])
23.4032 	EXP 	Stimuli: autoDraw = False
23.4032 	EXP 	Stimuli: autoDraw = False
23.4032 	EXP 	Stimuli: height = 0.15
23.4032 	EXP 	Stimuli: height = 0.15
23.4032 	EXP 	Stimuli: height = 0.15
23.4032 	EXP 	Stimuli: text = '+'
23.4032 	EXP 	Stimuli: height = 0.05
23.4032 	EXP 	Stimuli: autoDraw = True
23.4032 	EXP 	Stimuli: height = 0.05
23.4032 	EXP 	Stimuli: height = 0.05
23.4032 	EXP 	Stimuli: height = 0.05
23.4032 	EXP 	Stimuli: text = '+'
23.5961 	EXP 	New trial (rep=0, index=15): OrderedDict([('stimuli', 'E'), ('trial_type', 'non-target'), ('stimulus_onset', 23.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_duration', 2.8), ('cor_res', 'right')])
23.6182 	EXP 	Stimuli: autoDraw = False
23.6182 	EXP 	Stimuli: autoDraw = False
23.6182 	EXP 	Stimuli: height = 0.05
23.6182 	EXP 	Stimuli: height = 0.05
23.6182 	EXP 	Stimuli: height = 0.05
23.6182 	EXP 	Stimuli: text = 'E'
23.6182 	EXP 	Stimuli: height = 0.15
23.6182 	EXP 	Stimuli: autoDraw = True
23.6182 	EXP 	Stimuli: height = 0.15
23.6182 	EXP 	Stimuli: height = 0.15
23.6182 	EXP 	Stimuli: height = 0.15
23.6182 	EXP 	Stimuli: text = 'E'
26.4072 	EXP 	New trial (rep=0, index=16): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 25.8), ('block_type', '0-back'), ('stimulus_size', 0.05), ('stimulus_duration', 0.2), ('cor_res', None)])
26.4294 	EXP 	Stimuli: autoDraw = False
26.4294 	EXP 	Stimuli: autoDraw = False
26.4294 	EXP 	Stimuli: height = 0.15
26.4294 	EXP 	Stimuli: height = 0.15
26.4294 	EXP 	Stimuli: height = 0.15
26.4294 	EXP 	Stimuli: text = '+'
26.4294 	EXP 	Stimuli: height = 0.05
26.4294 	EXP 	Stimuli: autoDraw = True
26.4294 	EXP 	Stimuli: height = 0.05
26.4294 	EXP 	Stimuli: height = 0.05
26.4294 	EXP 	Stimuli: height = 0.05
26.4294 	EXP 	Stimuli: text = '+'
26.6267 	EXP 	New trial (rep=0, index=17): OrderedDict([('stimuli', 'X'), ('trial_type', 'target'), ('stimulus_onset', 26.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_duration', 2.8), ('cor_res', 'left')])
26.6454 	EXP 	Stimuli: autoDraw = False
26.6454 	EXP 	Stimuli: autoDraw = False
26.6454 	EXP 	Stimuli: height = 0.05
26.6454 	EXP 	Stimuli: height = 0.05
26.6454 	EXP 	Stimuli: height = 0.05
26.6454 	EXP 	Stimuli: text = 'X'
26.6454 	EXP 	Stimuli: height = 0.15
26.6454 	EXP 	Stimuli: autoDraw = True
26.6454 	EXP 	Stimuli: height = 0.15
26.6454 	EXP 	Stimuli: height = 0.15
26.6454 	EXP 	Stimuli: height = 0.15
26.6454 	EXP 	Stimuli: text = 'X'
29.4407 	EXP 	New trial (rep=0, index=18): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 28.8), ('block_type', '0-back'), ('stimulus_size', 0.05), ('stimulus_duration', 0.2), ('cor_res', None)])
29.4593 	EXP 	Stimuli: autoDraw = False
29.4593 	EXP 	Stimuli: autoDraw = False
29.4593 	EXP 	Stimuli: height = 0.15
29.4593 	EXP 	Stimuli: height = 0.15
29.4593 	EXP 	Stimuli: height = 0.15
29.4593 	EXP 	Stimuli: text = '+'
29.4593 	EXP 	Stimuli: height = 0.05
29.4593 	EXP 	Stimuli: autoDraw = True
29.4593 	EXP 	Stimuli: height = 0.05
29.4593 	EXP 	Stimuli: height = 0.05
29.4593 	EXP 	Stimuli: height = 0.05
29.4593 	EXP 	Stimuli: text = '+'
29.6568 	EXP 	New trial (rep=0, index=19): OrderedDict([('stimuli', 'X'), ('trial_type', 'target'), ('stimulus_onset', 29.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_duration', 2.8), ('cor_res', 'left')])
29.6742 	EXP 	Stimuli: autoDraw = False
29.6742 	EXP 	Stimuli: autoDraw = False
29.6742 	EXP 	Stimuli: height = 0.05
29.6742 	EXP 	Stimuli: height = 0.05
29.6742 	EXP 	Stimuli: height = 0.05
29.6742 	EXP 	Stimuli: text = 'X'
29.6742 	EXP 	Stimuli: height = 0.15
29.6742 	EXP 	Stimuli: autoDraw = True
29.6742 	EXP 	Stimuli: height = 0.15
29.6742 	EXP 	Stimuli: height = 0.15
29.6742 	EXP 	Stimuli: height = 0.15
29.6742 	EXP 	Stimuli: text = 'X'
32.4724 	EXP 	New trial (rep=0, index=20): OrderedDict([('stimuli', '+'), ('trial_type', 'rest'), ('stimulus_onset', 31.8), ('block_type', 'rest'), ('stimulus_size', 0.05), ('stimulus_duration', 10.0), ('cor_res', None)])
32.4958 	EXP 	Stimuli: autoDraw = False
32.4958 	EXP 	Stimuli: autoDraw = False
32.4958 	EXP 	Stimuli: height = 0.15
32.4958 	EXP 	Stimuli: height = 0.15
32.4958 	EXP 	Stimuli: height = 0.15
32.4958 	EXP 	Stimuli: text = '+'
32.4958 	EXP 	Stimuli: height = 0.05
32.4958 	EXP 	Stimuli: autoDraw = True
32.4958 	EXP 	Stimuli: height = 0.05
32.4958 	EXP 	Stimuli: height = 0.05
32.4958 	EXP 	Stimuli: height = 0.05
32.4958 	EXP 	Stimuli: text = '+'
39.4094 	DATA 	Keypress: escape
39.6327 	EXP 	run_experiment: status = STOPPED
39.6482 	EXP 	Stimuli: autoDraw = False
39.6483 	EXP 	run_experiment: status = STOPPED
39.6908 	EXP 	window1: mouseVisible = True
